word,root,tam
cAhie,cAha,subj
cAhiye,cAha,subj
calawA,cala,wA
calegA,cala,gA
cukA,cuka,yA
gayA,jA,yA1
hE,hE,hE
hogA,ho,gA
howA,ho,wA
huA,ho,yA
jA,jA,0
jAwA,jA,wA
jAyA,jA,yA
jAyegA,jA,gA
lagawA,laga,wA
lagegA,laga,gA
lagA,laga,0
lagayA,laga,yA
legA,le,gA
lewA,le,wA
liyA,le,yA
pada,pada,0
padA,pada,yA
padawA,pada,wA
padegA,pada,gA
padZa,pada,0
padZA,pada,yA
padZegA,pada,gA
padZawA,pada,wA
raha,raha,0
rahA,raha,yA
rahawA,raha,wA
rahegA,raha,gA
sakA,saka,yA
sakawA,saka,wA
sakegA,saka,gA
WA,WA,WA
xegA,xe,gA
xewA,xe,wA
xI,xe,yA
xiyA,xe,yA

